order_id,rating,sentiment
1961864118,4,Neutral
1549769649,3,Negative
9185164487,3,Neutral
9644738826,4,Neutral
5427684290,3,Negative
3265154092,2,Negative
4898355547,4,Positive
6568151549,2,Negative
6006693867,3,Negative
374186990,3,Neutral
4455336265,2,Negative
3539286337,3,Neutral
9171116867,4,Neutral
5504941865,5,Positive
5868326481,4,Neutral
2137046916,4,Positive
8195544338,4,Neutral
2889700050,4,Neutral
65827885,1,Negative
4656471694,3,Negative
6625178717,2,Negative
7169557514,2,Negative
2268306684,5,Positive
6905293278,3,Neutral
1769493463,2,Negative
5003387344,4,Neutral
2064484752,3,Neutral
964822979,3,Negative
6037899648,3,Neutral
9347571484,3,Negative
3286177534,3,Neutral
9073572548,4,Neutral
8395583761,4,Positive
6355378227,4,Positive
277376321,4,Positive
8559748526,4,Neutral
1458051433,4,Neutral
5838302640,4,Neutral
1380971977,3,Neutral
1221099013,4,Neutral
6771166303,3,Negative
7111337755,4,Neutral
5562922993,4,Neutral
5630957897,4,Neutral
1787380558,4,Neutral
32613017,5,Positive
2039041670,4,Neutral
210693801,3,Negative
8120002258,3,Neutral
2177917034,5,Positive
4254814926,3,Negative
6074172790,4,Positive
3381573131,1,Negative
3773745777,4,Neutral
9251939156,4,Positive
3872982303,4,Neutral
2625987757,3,Neutral
3162249401,4,Positive
3108986741,3,Negative
1851474741,2,Negative
2425099132,4,Neutral
6706793332,2,Negative
2149289255,3,Negative
1971008155,1,Negative
2087093460,4,Neutral
2116712588,3,Neutral
6054358790,3,Neutral
532660797,3,Neutral
1491991005,3,Negative
4136019599,4,Positive
2122832513,1,Negative
3717703595,4,Positive
3194733693,4,Neutral
4471162437,4,Neutral
1609331948,3,Neutral
6920030794,3,Negative
5127172657,4,Positive
8607115856,4,Neutral
7154957395,3,Neutral
2070762702,4,Positive
3697242439,3,Neutral
3063427913,4,Positive
2060061337,1,Negative
4625892678,1,Negative
6045698170,5,Positive
7876289647,4,Neutral
3434084714,4,Positive
9031695663,2,Negative
1955989715,4,Neutral
3459500455,4,Positive
5953376503,5,Positive
121874867,5,Positive
2460545397,3,Neutral
9690050839,4,Neutral
2574349065,4,Neutral
2461936988,5,Positive
6447596416,4,Positive
7228452275,2,Negative
6696750742,5,Positive
822235931,4,Neutral
7678251499,2,Negative
2497341976,1,Negative
9107314128,2,Negative
9855726256,4,Positive
9398719862,1,Negative
379494532,5,Positive
1048784963,4,Neutral
4386246924,3,Negative
2050362692,3,Neutral
4142963293,4,Neutral
9753528654,3,Neutral
8126970833,4,Neutral
9747814712,5,Positive
6281619403,5,Positive
436184281,2,Negative
9799231260,4,Neutral
4071811527,4,Positive
5645359563,2,Negative
9411813703,3,Negative
4270217473,4,Neutral
279851011,3,Neutral
6260524887,5,Positive
5853998391,3,Negative
9931976872,2,Negative
8432209832,4,Neutral
6023721507,4,Neutral
3042338919,3,Neutral
233646065,4,Neutral
9870610018,2,Negative
1398230967,1,Negative
8615488922,4,Positive
2748841057,3,Neutral
1375867721,1,Negative
8595141097,4,Positive
4673382071,3,Neutral
2948696008,2,Negative
6839692624,1,Negative
5770951298,5,Positive
5084771819,4,Neutral
422403644,2,Negative
7176758896,4,Neutral
8252905093,5,Positive
1488561572,4,Neutral
6212984517,4,Positive
6309784337,2,Negative
4613890018,4,Neutral
3429728472,3,Neutral
267738904,5,Positive
3850416839,4,Neutral
3412702479,4,Positive
2016183232,4,Positive
3810280204,4,Neutral
2416767295,3,Negative
2283439407,2,Negative
4328802292,4,Neutral
7072715691,4,Neutral
5640741373,3,Negative
6931094066,3,Neutral
3417088709,4,Positive
4424404315,4,Positive
2444087306,5,Positive
486085268,5,Positive
1731312620,3,Neutral
6475582506,5,Positive
1868581378,2,Negative
8884235937,5,Positive
4590662628,3,Negative
992302540,2,Negative
7169974633,4,Neutral
6703651257,2,Negative
7180810221,3,Neutral
7875587578,1,Negative
2578671497,4,Neutral
6284350691,4,Positive
5383261788,4,Neutral
6590867973,5,Positive
8787105023,4,Positive
1402916311,5,Positive
